"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 태백시 통동","259","0259","0000","한보5차","47.88","128.76","202004","29","1,500","3","1989","짝바우골길 47"
"강원도 태백시 통동","219-1","0219","0001","한보주택","45.15","94.07","202004","5","1,500","3","1987","솔안길 135"
"강원도 태백시 통동","219-1","0219","0001","한보주택","45.15","94.07","202004","17","950","2","1987","솔안길 135"
"강원도 태백시 통동","219-1","0219","0001","한보주택","45.15","94.07","202004","17","1,000","3","1987","솔안길 135"
"강원도 태백시 황지동","409-4","0409","0004","개나리","44.985","63.81","202004","17","2,200","1","1990","서학1길 53"
"강원도 태백시 황지동","409-4","0409","0004","개나리","44.985","63.81","202004","17","2,600","1","1990","서학1길 53"
"강원도 태백시 황지동","409-4","0409","0004","개나리","44.985","63.81","202004","17","2,800","1","1990","서학1길 53"
"강원도 태백시 황지동","162-3","0162","0003","상장","52.745","69.65","202004","16","1,800","2","1982","함태길 78"
"강원도 태백시 황지동","25-1","0025","0001","중앙","50.77","56.25","202004","27","6,000","2","1983","먹거리1길 18"
"강원도 태백시 황지동","87-21","0087","0021","한양","55.425","65.07","202004","13","4,500","1","1985","연립길 13"
"강원도 평창군 대관령면 수하리","166-18","0166","0018","메이힐스","84.963","140.68","202004","29","29,000","2","2007","올림픽로 294"
"강원도 평창군 대관령면 용산리","678","0678","0000","평창스카이테라하우스","31.8205","44.68","202004","29","10,700","4","2016","솔봉로 278-84"
"강원도 평창군 대관령면 용산리","258-2","0258","0002","해피타운하우스","144.09","262.6","202004","12","20,500","3","2011","솔재길 187"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","69,598","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","73,006","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","59,747","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","73,006","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","58,043","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","58,043","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","58,043","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","58,043","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","73,006","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","73,006","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","59,747","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","56,978","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","69,598","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","58,043","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","73,006","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","69,598","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","56,978","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","69,598","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","73,006","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","59,747","4","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","58,043","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","3","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","69,598","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","118.47","192.15","202004","1","56,978","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","69,598","1","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","344-97","0344","0097","(344-97)","147.53","239.3","202004","1","70,982","2","2011","올림픽로 256"
"강원도 평창군 대관령면 횡계리","279","0279","0000","드래곤 패밀리","53.69","59.05","202004","29","6,000","2","1989","대관령로 149"
"강원도 평창군 대관령면 횡계리","275-9","0275","0009","장미","58.32","98.2","202004","10","5,808","3","1984","송천2길 29-5"
