"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201907","1","11,000","8","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201907","1","11,600","5","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201907","16","12,400","9","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201908","16","12,500","7","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201909","24","11,350","12","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201909","30","11,200","13","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201910","19","12,800","13","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201910","24","12,200","7","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201910","26","11,400","2","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201910","26","12,500","2","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201911","3","13,000","4","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201911","6","11,000","14","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","201911","11","12,000","11","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","202001","4","11,500","14","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","202001","9","13,400","4","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","202002","1","12,700","5","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","202002","6","11,500","8","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","202002","7","12,800","5","1999","대덕대로1470번길 27"
"대전광역시 대덕구 목상동","185-1","0185","0001","상록수","59.96","202003","3","13,400","8","1999","대덕대로1470번길 27"
