index,위도,경도,도로명주소,API,교통,마트편의점,교육시설,의료시설,음식점카페,문화공간
932,127.372188576,36.329107698,대전광역시 서구 변동 동서대로1006번길 85-13,"{'교통': 0, '마트편의점': 30, '교육시설': 132, '의료시설': 42, '음식점카페': 387, '문화공간': 3}",0,30,132,42,387,3
933,127.376270673,36.325456769,대전광역시 서구 변동 변동로 24-23,"{'교통': 0, '마트편의점': 33, '교육시설': 136, '의료시설': 44, '음식점카페': 489, '문화공간': 4}",0,33,136,44,489,4
934,127.375418987,36.327976169,대전광역시 서구 변동 변동로 7,"{'교통': 0, '마트편의점': 36, '교육시설': 152, '의료시설': 58, '음식점카페': 489, '문화공간': 3}",0,36,152,58,489,3
935,127.384946037,36.327203565,대전광역시 서구 변동 중반5길 67,"{'교통': 0, '마트편의점': 29, '교육시설': 165, '의료시설': 71, '음식점카페': 527, '문화공간': 6}",0,29,165,71,527,6
936,127.376959711,36.326290081,대전광역시 서구 변동 동서대로1064번길 85,"{'교통': 0, '마트편의점': 33, '교육시설': 139, '의료시설': 62, '음식점카페': 492, '문화공간': 4}",0,33,139,62,492,4
937,127.378691844,36.323091999,대전광역시 서구 변동 도산로 164,"{'교통': 0, '마트편의점': 29, '교육시설': 127, '의료시설': 54, '음식점카페': 569, '문화공간': 4}",0,29,127,54,569,4
938,127.381394695,36.323075475,대전광역시 서구 변동 변정6길 72,"{'교통': 0, '마트편의점': 21, '교육시설': 129, '의료시설': 48, '음식점카페': 525, '문화공간': 4}",0,21,129,48,525,4
939,127.384293050,36.325407365,대전광역시 서구 변동 중반3길 83,"{'교통': 0, '마트편의점': 23, '교육시설': 181, '의료시설': 77, '음식점카페': 440, '문화공간': 6}",0,23,181,77,440,6
940,127.376603157,36.309147157,대전광역시 서구 복수동 오량2길 43,"{'교통': 0, '마트편의점': 20, '교육시설': 112, '의료시설': 82, '음식점카페': 394, '문화공간': 8}",0,20,112,82,394,8
941,127.376358637,36.308775108,대전광역시 서구 복수동 오량2길 78,"{'교통': 0, '마트편의점': 20, '교육시설': 119, '의료시설': 82, '음식점카페': 406, '문화공간': 9}",0,20,119,82,406,9
942,127.376562817,36.309418179,대전광역시 서구 복수동 오량4길 54,"{'교통': 0, '마트편의점': 19, '교육시설': 105, '의료시설': 74, '음식점카페': 383, '문화공간': 8}",0,19,105,74,383,8
943,127.376682187,36.309072650,대전광역시 서구 복수동 오량2길 47,"{'교통': 0, '마트편의점': 20, '교육시설': 112, '의료시설': 82, '음식점카페': 391, '문화공간': 8}",0,20,112,82,391,8
944,127.375029568,36.299809369,대전광역시 서구 복수동 복수동로52번길 135-26,"{'교통': 0, '마트편의점': 22, '교육시설': 142, '의료시설': 20, '음식점카페': 315, '문화공간': 5}",0,22,142,20,315,5
945,127.374658504,36.300531929,대전광역시 서구 복수동 복수동로52번길 135-11,"{'교통': 0, '마트편의점': 22, '교육시설': 154, '의료시설': 26, '음식점카페': 341, '문화공간': 4}",0,22,154,26,341,4
946,127.375438421,36.299516463,대전광역시 서구 복수동 유등로17번길 130-6,"{'교통': 0, '마트편의점': 20, '교육시설': 135, '의료시설': 15, '음식점카페': 311, '문화공간': 4}",0,20,135,15,311,4
947,127.376839551,36.308986993,대전광역시 서구 복수동 오량2길 49,"{'교통': 0, '마트편의점': 19, '교육시설': 112, '의료시설': 83, '음식점카페': 387, '문화공간': 8}",0,19,112,83,387,8
948,127.377217089,36.308541249,대전광역시 서구 복수동 복수북로 67-2,"{'교통': 0, '마트편의점': 19, '교육시설': 119, '의료시설': 89, '음식점카페': 383, '문화공간': 9}",0,19,119,89,383,9
949,127.376644469,36.308870094,대전광역시 서구 복수동 오량2길 69,"{'교통': 0, '마트편의점': 19, '교육시설': 115, '의료시설': 83, '음식점카페': 403, '문화공간': 8}",0,19,115,83,403,8
950,127.376621594,36.308744090,대전광역시 서구 복수동 오량2길 67,"{'교통': 0, '마트편의점': 21, '교육시설': 116, '의료시설': 83, '음식점카페': 406, '문화공간': 9}",0,21,116,83,406,9
951,127.376533072,36.309275976,대전광역시 서구 복수동 오량2길 41,"{'교통': 0, '마트편의점': 19, '교육시설': 109, '의료시설': 78, '음식점카페': 392, '문화공간': 8}",0,19,109,78,392,8
952,127.376987480,36.309578422,대전광역시 서구 복수동 오량4길 62,"{'교통': 0, '마트편의점': 19, '교육시설': 96, '의료시설': 78, '음식점카페': 368, '문화공간': 8}",0,19,96,78,368,8
